fdc_id,data_type,description,food_category_id,publication_date
2705384,survey_fndds_food,"Milk, NFS",1004,2022-10-28
2705398,survey_fndds_food,"Milk, evaporated, NS as to fat content",1002,2022-10-28
2705385,survey_fndds_food,"Milk, whole",1002,2022-10-28
2705392,survey_fndds_food,"Milk, lactose free, whole",1002,2022-10-28
2705387,survey_fndds_food,"Milk, low fat (1%)",1006,2022-10-28
2705389,survey_fndds_food,"Milk, lactose free, low fat (1%)",1006,2022-10-28
2705388,survey_fndds_food,"Milk, fat free (skim)",1008,2022-10-28
2705390,survey_fndds_food,"Milk, lactose free, fat free (skim)",1008,2022-10-28
2705401,survey_fndds_food,"Milk, evaporated, fat free (skim)",1008,2022-10-28
2705393,survey_fndds_food,Buttermilk,1002,2022-10-28
2705394,survey_fndds_food,Kefir,1006,2022-10-28
2705395,survey_fndds_food,Goat milk,1002,2022-10-28
2705403,survey_fndds_food,"Non-dairy milk, NFS",1902,2022-10-28
2705404,survey_fndds_food,"Soy milk, sweetened",1902,2022-10-28
2705405,survey_fndds_food,"Soy milk, unsweetened",1902,2022-10-28
2705406,survey_fndds_food,"Soy milk, chocolate",1902,2022-10-28
2705410,survey_fndds_food,"Almond milk, NFS",1902,2022-10-28
2705407,survey_fndds_food,"Almond milk, sweetened",1902,2022-10-28
2705408,survey_fndds_food,"Almond milk, chocolate",1902,2022-10-28
2705411,survey_fndds_food,Rice milk,1902,2022-10-28
2705412,survey_fndds_food,Oat milk,1902,2022-10-28
2705413,survey_fndds_food,Coconut milk,1902,2022-10-28
2707568,survey_fndds_food,"Coconut milk, used in cooking",1902,2022-10-28
2705414,survey_fndds_food,"Yogurt, NFS",1820,2022-10-28
2705416,survey_fndds_food,"Yogurt, NS as to type of milk or flavor",1820,2022-10-28
2705417,survey_fndds_food,"Yogurt, NS as to type of milk, plain",1820,2022-10-28
2705415,survey_fndds_food,"Yogurt, Greek, NS as to type of milk or flavor",1822,2022-10-28
2705421,survey_fndds_food,"Yogurt, Greek, NS as to type of milk, plain",1822,2022-10-28
2705429,survey_fndds_food,"Yogurt, Greek, NS as to type of milk, fruit",1822,2022-10-28
2705443,survey_fndds_food,Yogurt tube,1820,2022-10-28
2705592,survey_fndds_food,"Cream, NS as to light, heavy, or half and half",8008,2022-10-28
2705593,survey_fndds_food,"Cream, light",8008,2022-10-28
2705597,survey_fndds_food,"Cream, heavy",8008,2022-10-28
2705598,survey_fndds_food,"Cream, whipped",8006,2022-10-28
2705599,survey_fndds_food,"Coffee creamer, NFS",8008,2022-10-28
2705600,survey_fndds_food,"Coffee creamer, liquid",8008,2022-10-28
2705606,survey_fndds_food,"Coffee creamer, powder",8008,2022-10-28
2705611,survey_fndds_food,Whipped topping,8006,2022-10-28
2705612,survey_fndds_food,"Whipped topping, fat free",8006,2022-10-28
2705613,survey_fndds_food,"Whipped topping, sugar free",8006,2022-10-28
2705614,survey_fndds_food,"Sour cream, regular",8006,2022-10-28
2705615,survey_fndds_food,"Sour cream, light",8006,2022-10-28
2705616,survey_fndds_food,"Sour cream, fat free",8006,2022-10-28
2705704,survey_fndds_food,"Cheese, NFS",1602,2022-10-28
2705722,survey_fndds_food,"Cheese, Mozzarella, NFS",1602,2022-10-28
2705770,survey_fndds_food,"Cheese, processed cheese food",1602,2022-10-28
