fdc_id,data_type,description,food_category_id,publication_date
2705594,survey_fndds_food,"Cream, half and half",8008,2022-10-28
2705595,survey_fndds_food,"Cream, half and half, flavored",8008,2022-10-28
2705596,survey_fndds_food,"Cream, half and half, fat free",8008,2022-10-28
2705705,survey_fndds_food,"Cheese, Blue or Roquefort",1602,2022-10-28
2705711,survey_fndds_food,"Cheese, Cheddar, nonfat or fat free",1602,2022-10-28
2705717,survey_fndds_food,"Cheese, Gouda or Edam",1602,2022-10-28
2705725,survey_fndds_food,"Cheese, Mozzarella, nonfat or fat free",1602,2022-10-28
2705738,survey_fndds_food,"Cheese, Swiss, nonfat or fat free",1602,2022-10-28
2705748,survey_fndds_food,"Cheese, cottage, creamed, large or small curd",1604,2022-10-28
2705763,survey_fndds_food,"Cheese, American and Swiss blends",1602,2022-10-28
2705766,survey_fndds_food,"Cheese, American, nonfat or fat free",1602,2022-10-28
2705768,survey_fndds_food,"Cheese spread, American or Cheddar cheese base, reduced fat",1602,2022-10-28
2705773,survey_fndds_food,"Cheese spread, American or Cheddar cheese base",1602,2022-10-28
2705817,survey_fndds_food,"Mozzarella sticks, breaded, baked, or fried",1602,2022-10-28
2705829,survey_fndds_food,"Beef, steak, ribeye, lean and fat eaten",2002,2022-10-28
2705833,survey_fndds_food,"Beef, steak, sirloin, lean and fat eaten",2002,2022-10-28
2705836,survey_fndds_food,"Beef, steak, strip, lean and fat eaten",2002,2022-10-28
2705839,survey_fndds_food,"Beef, steak, T-bone,  lean and fat eaten",2002,2022-10-28
2705867,survey_fndds_food,"Pork, chop, lean and fat eaten",2006,2022-10-28
2705870,survey_fndds_food,"Pork, chop, coated, lean and fat eaten",2006,2022-10-28
2705874,survey_fndds_food,"Pork, steak, lean and fat eaten",2006,2022-10-28
2705880,survey_fndds_food,"Ham, canned",2602,2022-10-28
2705887,survey_fndds_food,"Pork bacon, NS as to fresh, smoked or cured, cooked",2604,2022-10-28
2705888,survey_fndds_food,"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked",2604,2022-10-28
2705889,survey_fndds_food,"Pork bacon, smoked or cured, cooked",2604,2022-10-28
2705891,survey_fndds_food,"Pork bacon, smoked or cured, reduced sodium, cooked",2604,2022-10-28
2705899,survey_fndds_food,"Pork, pig's feet, pickled",2006,2022-10-28
2705949,survey_fndds_food,"Chicken, NS as to part, fried, coated, skin / coating eaten",2202,2022-10-28
2705950,survey_fndds_food,"Chicken, NS as to part, fried, coated, skin / coating not eaten",2202,2022-10-28
2705951,survey_fndds_food,"Chicken, NS as to part, baked, coated, skin / coating eaten",2202,2022-10-28
2705952,survey_fndds_food,"Chicken, NS as to part, baked, coated, skin / coating not eaten",2202,2022-10-28
2705957,survey_fndds_food,"Chicken breast, baked or broiled, skin eaten, from pre-cooked",2202,2022-10-28
2705958,survey_fndds_food,"Chicken breast, baked or broiled, skin not eaten, from pre-cooked",2202,2022-10-28
2705973,survey_fndds_food,"Chicken breast, fried, coated, skin / coating eaten, from raw",2202,2022-10-28
2705974,survey_fndds_food,"Chicken breast, fried, coated, skin / coating not eaten, from raw",2202,2022-10-28
2705975,survey_fndds_food,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",2202,2022-10-28
2705976,survey_fndds_food,"Chicken breast, fried, coated, skin / coating eaten, from pre-cooked",2202,2022-10-28
2705977,survey_fndds_food,"Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked",2202,2022-10-28
2705980,survey_fndds_food,"Chicken breast, baked, coated, skin / coating eaten",2202,2022-10-28
2705981,survey_fndds_food,"Chicken breast, baked, coated, skin / coating not eaten",2202,2022-10-28
2705982,survey_fndds_food,"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten",2202,2022-10-28
2705983,survey_fndds_food,"Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten",2202,2022-10-28
2705984,survey_fndds_food,"Chicken leg, drumstick and thigh, baked or broiled, skin eaten",2202,2022-10-28
2705985,survey_fndds_food,"Chicken leg, drumstick and thigh, baked or broiled, skin not eaten",2202,2022-10-28
2705986,survey_fndds_food,"Chicken leg, drumstick and thigh, rotisserie, skin eaten",2202,2022-10-28
2705987,survey_fndds_food,"Chicken leg, drumstick and thigh, rotisserie, skin not eaten",2202,2022-10-28
2705988,survey_fndds_food,"Chicken leg, drumstick and thigh, stewed, skin eaten",2202,2022-10-28
2705989,survey_fndds_food,"Chicken leg, drumstick and thigh, stewed, skin not eaten",2202,2022-10-28
2705990,survey_fndds_food,"Chicken leg, drumstick and thigh, grilled without sauce, skin eaten",2202,2022-10-28
2705991,survey_fndds_food,"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten",2202,2022-10-28
2705994,survey_fndds_food,"Chicken leg, drumstick and thigh, sauteed, skin eaten",2202,2022-10-28
2705995,survey_fndds_food,"Chicken leg, drumstick and thigh, sauteed, skin not eaten",2202,2022-10-28
2705996,survey_fndds_food,"Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten",2202,2022-10-28
2705997,survey_fndds_food,"Chicken leg, drumstick and thigh, fried, coated, skin / coating not eaten",2202,2022-10-28
2705998,survey_fndds_food,"Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten",2202,2022-10-28
2705999,survey_fndds_food,"Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten",2202,2022-10-28
2706004,survey_fndds_food,"Chicken drumstick, baked or broiled, skin eaten, from pre-cooked",2202,2022-10-28
2706005,survey_fndds_food,"Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked",2202,2022-10-28
2706018,survey_fndds_food,"Chicken drumstick, fried, coated, skin / coating eaten, from raw",2202,2022-10-28
2706019,survey_fndds_food,"Chicken drumstick, fried, coated, skin / coating not eaten, from raw",2202,2022-10-28
2706020,survey_fndds_food,"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",2202,2022-10-28
2706021,survey_fndds_food,"Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked",2202,2022-10-28
2706022,survey_fndds_food,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",2202,2022-10-28
2706025,survey_fndds_food,"Chicken drumstick, baked, coated, skin / coating eaten",2202,2022-10-28
2706026,survey_fndds_food,"Chicken drumstick, baked, coated, skin / coating not eaten",2202,2022-10-28
2706031,survey_fndds_food,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",2202,2022-10-28
