wweia_food_category,wweia_food_category_description
1002,"Milk, whole"
1004,"Milk, reduced fat"
1006,"Milk, lowfat"
1008,"Milk, nonfat"
1602,Cheese
1604,Cottage/ricotta cheese
1820,"Yogurt, regular"
1822,"Yogurt, Greek"
2002,"Beef, excludes ground"
2004,Ground beef
2006,Pork
2008,"Lamb, goat, game"
2010,Liver and organ meats
2202,"Chicken, whole pieces"
2204,"Chicken patties, nuggets and tenders"
2206,"Turkey, duck, other poultry"
2402,Fish
2404,Shellfish
2502,Eggs and omelets
2602,Cold cuts and cured meats
2604,Bacon
2606,Frankfurters
2608,Sausages
2802,"Beans, peas, legumes"
2804,Nuts and seeds
2806,Soy and meat-alternative products
4002,Rice
4004,"Pasta, noodles, cooked grains"
4202,Yeast breads
4204,Rolls and buns
4206,Bagels and English muffins
4208,Tortillas
4402,"Biscuits, muffins, quick breads"
4404,"Pancakes, waffles, French toast"
4802,Oatmeal
4804,Grits and other cooked cereals
6002,Apples
6004,Bananas
6006,Grapes
6008,Peaches and nectarines
6009,Strawberries
6011,Blueberries and other berries
6012,Citrus fruits
6014,Melons
6016,Dried fruits
6018,Other fruits and fruit salads
6020,Pears
6022,Pineapple
6024,Mango and papaya
6402,Tomatoes
6404,Carrots
6406,Other red and orange vegetables
6407,Broccoli
6409,Spinach
6410,Lettuce and lettuce salads
6411,Other dark green vegetables
6412,String beans
6413,Cabbage
6414,Onions
6416,Corn
6418,Other starchy vegetables
6420,Other vegetables and combinations
6802,"White potatoes, baked or boiled"
6804,French fries and other fried white potatoes
6806,Mashed potatoes and white potato mixtures
8002,Butter and animal fats
8004,Margarine
8006,"Cream cheese, sour cream, whipped cream"
8008,Cream and cream substitutes
8010,Mayonnaise
8012,Salad dressings and vegetable oils
1902,Plant-based milk
1904,Plant-based yogurt
